Player,Season,Club,Pos'n,MLS,Prev WARP,Career WARP,Prev Salary,Club Offer,Player Request,New Salary
Lance McCullers Jr.,2018,HOU,rhp-s,2.14,2.7,7.7,"$548,000 ",,,"$2,450,000 "
Tim Beckham,2018,BAL,2b,3.134,2.9,3.6,"$885,000 ",,,"$3,350,000 "
Freddy Galvis,2018,SDN,ss,5.021,2.9,5.3,"$4,350,000 ",,,"$6,825,000 "
Mike Zunino,2018,SEA,c,3.16,2.9,8.5,"$570,000 ",,,"$2,975,000 "
Tanner Roark,2018,WAS,rhp,4.055,2.9,9.5,"$4,315,000 ",,,"$6,475,000 "
A.J. Pollock,2018,ARI,cf,5.052,2.9,12.4,"$6,750,000 ",,,"$7,750,000 "
Eduardo Rodriguez,2018,BOS,lhp-s,2.13,3,5.6,"$584,500 ",,,"$2,375,000 "
Gerrit Cole,2018,PIT,rhp-s,4.111,3.2,14.3,"$3,750,000 ",,,"$6,750,000 "
Drew Pomeranz,2018,BOS,lhp-s,5.013,3.3,7.8,"$4,450,000 ",,,"$8,500,000 "
Jake Lamb,2018,ARI,3b,3.053,3.4,9,"$573,300 ",,,"$4,275,000 "
Robbie Ray,2018,ARI,lhp-s,3.007,3.5,5.7,"$570,400 ",,,"$3,950,000 "
Cesar Hernandez,2018,PHI,2b,3.154,3.5,8.9,"$2,550,000 ",,,"$5,100,000 "
Kyle Hendricks,2018,CHN,rhp-s,3.081,3.5,14,"$760,500 ",,,"$4,175,000 "
Alex Wood,2018,LAN,lhp-s,4.124,3.6,10.6,"$2,800,000 ",,,"$6,000,000 "
Avisail Garcia,2018,CHA,rf,4.167,3.7,5,"$3,000,000 ","$5,850,000 ","$6,700,000 ","$6,700,000 "
James Paxton,2018,SEA,lhp-s,3.151,3.7,8.5,"$2,350,000 ",,,"$4,900,000 "
Eugenio Suarez,2018,CIN,3b,3.061,3.7,9.2,"$595,000 ","$3,750,000 ","$4,200,000 ","$3,750,000 "
David Peralta,2018,ARI,rf,3.12,3.7,9.6,"$572,200 ",,,"$3,300,000 "
Josh Donaldson,2018,TOR,3b,5.158,3.8,31.2,"$17,000,000 ",,,"$23,000,000 "
Brad Peacock,2018,HOU,rhp-s,3.165,3.9,2.5,"$541,500 ",,,"$2,440,000 "
Jimmy Nelson,2018,MIL,rhp-s,3.107,3.9,4.5,"$547,000 ",,,"$3,700,000 "
Michael A. Taylor,2018,WAS,of,3.01,3.9,5.4,"$557,900 ",,,"$2,525,000 "
Corey Dickerson,2018,TBA,lf-dh,4.101,3.9,8.8,"$3,025,000 ",,,"$5,950,000 "
Jose Abreu,2018,CHA,1b,4,3.9,15.7,"$10,825,000 ",,,"$13,000,000 "
Sonny Gray,2018,NYA,rhp-s,4.061,4.2,17.4,"$3,575,000 ",,,"$6,500,000 "
Didi Gregorius,2018,NYA,ss,4.159,4.4,10.4,"$5,100,000 ",,,"$8,250,000 "
Marcus Stroman,2018,TOR,rhp-s,3.148,4.4,11.5,"$3,400,000 ","$6,500,000 ","$6,900,000 ","$6,500,000 "
George Springer,2018,HOU,cf,3.166,4.4,15.7,"$3,900,000 ","$8,500,000 ","$10,500,000 ","$12,000,000 "
Yasmani Grandal,2018,LAN,c,5.115,4.5,23.8,"$5,500,000 ",,,"$7,900,000 "
Jonathan Schoop,2018,BAL,2b-3b,4.027,4.7,6.1,"$3,475,000 ","$7,500,000 ","$9,000,000 ","$8,500,000 "
Dallas Keuchel,2018,HOU,lhp-s,5.089,4.7,19.6,"$9,150,000 ",,,"$13,200,000 "
DJ LeMahieu,2018,COL,2b,5.128,4.8,12.5,"$4,800,000 ",,,"$8,500,000 "
J.T. Realmuto,2018,MIA,c,3.038,5.2,9.3,"$562,500 ","$2,900,000 ","$3,500,000 ","$2,900,000 "
Mookie Betts,2018,BOS,rf,3.07,5.5,20.4,"$950,000 ","$7,500,000 ","$10,500,000 ","$10,500,000 "
Jacob deGrom,2018,NYN,rhp-s,3.139,5.9,17.1,"$4,050,000 ",,,"$7,400,000 "
Marcell Ozuna,2018,SLN,lf,4.124,6.1,14.8,"$3,500,000 ",,,"$9,000,000 "
Anthony Rendon,2018,WAS,3b,4.13,6.2,17.7,"$5,800,000 ",,,"$12,300,000 "
Kris Bryant,2018,CHN,3b,2.171,6.6,21.5,"$1,050,000 ",,,"$10,850,000 "
Charlie Blackmon,2018,COL,cf,5.102,7.9,18,"$7,300,000 ",,,"$14,000,000 "
Yimi Garcia,2018,LAN,rhp,3.004,0,-0.2,"$555,000 ",,,"$630,000 "
Will Smith,2018,SFN,lhp,4.155,0,2.2,"$2,500,000 ",,,"$2,500,000 "
Trevor May,2018,MIN,rhp,3.051,0,2.3,"$555,000 ",,,"$650,000 "
Anthony Desclafani,2018,CIN,rhp-s,3.062,0,3.1,"$585,000 ",,,"$860,000 "
Drew Smyly,2018,SEA,lhp-s,5.154,0,4.9,"$6,850,000 ",non-tendered,,"$3,000,000 "
Matt Duffy,2018,TBA,ss,3.059,0,5.4,"$545,300 ",,,"$930,000 "
